5.0710 	WARNING 	Monitor specification not found. Creating a temporary one...
162.9218 	DATA 	Keypress: a
162.9528 	EXP 	patch_choice offset
162.9528 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch7.png'
162.9528 	EXP 	fixation_cross onset
164.4514 	EXP 	fixation_cross offset
164.4514 	EXP 	patch_choice onset
164.9442 	DATA 	Keypress: a
164.9679 	EXP 	patch_choice offset
164.9679 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch9.png'
164.9679 	EXP 	fixation_cross onset
166.4684 	EXP 	fixation_cross offset
166.4684 	EXP 	patch_choice onset
167.3542 	DATA 	Keypress: a
167.3850 	EXP 	patch_choice offset
167.3850 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch12.png'
167.3850 	EXP 	fixation_cross onset
168.8847 	EXP 	fixation_cross offset
168.8847 	EXP 	patch_choice onset
169.7244 	DATA 	Keypress: a
169.7680 	EXP 	patch_choice offset
169.7680 	EXP 	unnamed TextStim: text = 'Congratulations, you finished the experiment. You accuracy was 83% in the learning part and 100% in the test.'
169.7680 	EXP 	message_end onset
174.7525 	EXP 	window1: mouseVisible = True
